urgent_slots,strategy,rule,rule_name,n_batches,elAppWT_mean,elAppWT_hw,elAppWT_lower,elAppWT_upper,elScanWT_mean,elScanWT_hw,elScanWT_lower,elScanWT_upper,urScanWT_mean,urScanWT_hw,urScanWT_lower,urScanWT_upper,OT_mean,OT_hw,OT_lower,OT_upper,OV_mean,OV_hw,OV_lower,OV_upper
13,1,1,FCFS,58,19.288827,0.827559,18.461268,20.116386,0.082235,0.000484,0.081751,0.082719,2.980876,0.014191,2.966686,2.995067,0.812847,0.013267,0.799579,0.826114,0.446023,0.005450,0.440573,0.451473
13,1,2,Bailey-Welch,58,19.945325,0.829977,19.115348,20.775302,0.174850,0.000835,0.174016,0.175685,2.909275,0.014132,2.895142,2.923407,0.762473,0.013321,0.749151,0.775794,0.441975,0.005447,0.436528,0.447422
13,1,3,Blocking,58,19.832532,0.829383,19.003148,20.661915,0.183068,0.000628,0.182441,0.183696,2.983053,0.014301,2.968752,2.997353,0.806044,0.013316,0.792728,0.819361,0.449501,0.005469,0.444032,0.454970
13,1,4,Benchmarking,58,19.363168,0.832928,18.530240,20.196096,0.083018,0.000481,0.082537,0.083498,2.964487,0.014179,2.950308,2.978666,0.803079,0.013256,0.789823,0.816335,0.444644,0.005474,0.439170,0.450119
13,2,1,FCFS,58,18.787904,0.830484,17.957419,19.618388,0.079227,0.000496,0.078731,0.079724,2.573817,0.014181,2.559636,2.587998,1.117760,0.013376,1.104384,1.131136,0.397812,0.005580,0.392232,0.403393
13,2,2,Bailey-Welch,58,19.421195,0.827732,18.593463,20.248927,0.179464,0.000800,0.178664,0.180264,2.516855,0.014228,2.502627,2.531084,1.067003,0.013456,1.053547,1.080458,0.395253,0.005561,0.389692,0.400814
13,2,3,Blocking,58,19.380211,0.827298,18.552914,20.207509,0.179813,0.000568,0.179246,0.180381,2.633547,0.014207,2.619340,2.647754,1.108841,0.013396,1.095445,1.122238,0.407975,0.005558,0.402416,0.413533
13,2,4,Benchmarking,58,18.861614,0.833637,18.027977,19.695250,0.080558,0.000489,0.080069,0.081047,2.558363,0.014176,2.544188,2.572539,1.105692,0.013382,1.092310,1.119074,0.396534,0.005590,0.390944,0.402124
13,3,1,FCFS,58,18.670057,0.829350,17.840708,19.499407,0.076580,0.000529,0.076050,0.077109,2.642933,0.013350,2.629583,2.656283,1.195273,0.012588,1.182685,1.207861,0.404791,0.005356,0.399434,0.410147
13,3,2,Bailey-Welch,58,19.291136,0.827367,18.463768,20.118503,0.170494,0.000852,0.169642,0.171345,2.586201,0.013336,2.572865,2.599537,1.140914,0.012661,1.128254,1.153575,0.402184,0.005343,0.396841,0.407527
13,3,3,Blocking,58,19.225609,0.832179,18.393431,20.057788,0.178020,0.000569,0.177451,0.178589,2.631440,0.013398,2.618042,2.644837,1.187440,0.012676,1.174764,1.200117,0.406820,0.005368,0.401453,0.412188
13,3,4,Benchmarking,58,18.739925,0.832363,17.907562,19.572288,0.077974,0.000521,0.077453,0.078495,2.627831,0.013399,2.614432,2.641230,1.183266,0.012636,1.170630,1.195902,0.403528,0.005371,0.398157,0.408899
14,1,1,FCFS,58,22.574555,1.173395,21.401160,23.747950,0.082578,0.000527,0.082051,0.083106,2.851101,0.014141,2.836960,2.865242,0.800763,0.013277,0.787485,0.814040,0.451161,0.007382,0.443780,0.458543
14,1,2,Bailey-Welch,58,23.253309,1.179793,22.073516,24.433102,0.176367,0.000807,0.175560,0.177174,2.780040,0.014124,2.765916,2.794164,0.750530,0.013319,0.737212,0.763849,0.447306,0.007413,0.439892,0.454719
14,1,3,Blocking,58,23.138538,1.179731,21.958807,24.318269,0.182215,0.000622,0.181593,0.182837,2.839476,0.014171,2.825305,2.853646,0.794245,0.013313,0.780932,0.807558,0.453227,0.007422,0.445804,0.460649
14,1,4,Benchmarking,58,22.661690,1.183817,21.477874,23.845507,0.083351,0.000525,0.082825,0.083876,2.834610,0.014161,2.820449,2.848771,0.791062,0.013281,0.777781,0.804343,0.449848,0.007438,0.442409,0.457286
14,2,1,FCFS,58,22.071683,1.176759,20.894924,23.248441,0.078367,0.000508,0.077859,0.078875,2.448536,0.013798,2.434738,2.462334,1.103977,0.013393,1.090584,1.117370,0.403439,0.007443,0.395996,0.410881
14,2,2,Bailey-Welch,58,22.721240,1.176531,21.544709,23.897772,0.175863,0.000811,0.175052,0.176675,2.390659,0.013849,2.376809,2.404508,1.052312,0.013443,1.038869,1.065755,0.400874,0.007448,0.393426,0.408322
14,2,3,Blocking,58,22.668002,1.173002,21.494999,23.841004,0.178095,0.000595,0.177499,0.178690,2.529811,0.013727,2.516084,2.543538,1.095671,0.013470,1.082201,1.109141,0.416019,0.007424,0.408595,0.423442
14,2,4,Benchmarking,58,22.150453,1.184529,20.965924,23.334982,0.079674,0.000507,0.079167,0.080181,2.432833,0.013820,2.419013,2.446653,1.091842,0.013408,1.078434,1.105250,0.402163,0.007481,0.394682,0.409644
14,3,1,FCFS,58,21.944023,1.177591,20.766431,23.121614,0.077028,0.000564,0.076464,0.077592,2.482759,0.013094,2.469665,2.495853,1.168549,0.012580,1.155968,1.181129,0.406481,0.007349,0.399132,0.413830
14,3,2,Bailey-Welch,58,22.570114,1.174845,21.395269,23.744958,0.177296,0.000914,0.176381,0.178210,2.429683,0.013171,2.416512,2.442854,1.117336,0.012610,1.104726,1.129946,0.404311,0.007340,0.396971,0.411651
14,3,3,Blocking,58,22.498356,1.180701,21.317654,23.679057,0.177944,0.000646,0.177298,0.178591,2.471306,0.013164,2.458142,2.484470,1.160651,0.012598,1.148053,1.173249,0.408508,0.007364,0.401144,0.415873
14,3,4,Benchmarking,58,22.019382,1.183854,20.835528,23.203236,0.078553,0.000567,0.077986,0.079121,2.467608,0.013123,2.454485,2.480730,1.156446,0.012591,1.143854,1.169037,0.405246,0.007379,0.397867,0.412626
15,1,1,FCFS,58,28.046326,1.903934,26.142391,29.950260,0.082938,0.000489,0.082449,0.083427,2.703986,0.013517,2.690469,2.717503,0.649870,0.011492,0.638379,0.661362,0.467385,0.011559,0.455826,0.478945
15,1,2,Bailey-Welch,58,28.726496,1.913115,26.813381,30.639610,0.177709,0.000890,0.176819,0.178599,2.630473,0.013439,2.617034,2.643912,0.598934,0.011643,0.587291,0.610577,0.463266,0.011592,0.451674,0.474858
15,1,3,Blocking,58,28.663051,1.911644,26.751407,30.574694,0.183794,0.000590,0.183204,0.184384,2.691686,0.013574,2.678112,2.705259,0.643497,0.011551,0.631947,0.655048,0.469690,0.011595,0.458095,0.481284
15,1,4,Benchmarking,58,28.128843,1.917064,26.211778,30.045907,0.083738,0.000499,0.083239,0.084237,2.686772,0.013488,2.673284,2.700261,0.639983,0.011508,0.628476,0.651491,0.465964,0.011623,0.454341,0.477587
15,2,1,FCFS,58,27.367770,1.899572,25.468198,29.267342,0.077458,0.000483,0.076976,0.077941,2.313707,0.013211,2.300496,2.326918,1.010560,0.012477,0.998083,1.023037,0.419982,0.011564,0.408418,0.431546
