urgent_slots,strategy,rule,rule_name,slot_cluster,label,OV_mean,OV_hw,delta_OV,hw_delta_OV,sig_OV,slot_cluster_ord
16,2,1,FCFS,Medium (15-17),S2 - FCFS,0.457417,0.020559,0.007032,0.021855,False,Medium (15-17)
16,2,2,Bailey-Welch,Medium (15-17),S2 - Bailey-Welch,0.454472,0.020545,0.004087,0.021842,False,Medium (15-17)
16,2,3,Blocking,Medium (15-17),S2 - Blocking,0.470140,0.020547,0.019755,0.021844,False,Medium (15-17)
16,2,4,Benchmarking,Medium (15-17),S2 - Benchmarking,0.456086,0.020665,0.005701,0.021955,False,Medium (15-17)
16,3,1,FCFS,Medium (15-17),S3 - FCFS,0.442751,0.020649,-0.007634,0.021940,False,Medium (15-17)
16,3,2,Bailey-Welch,Medium (15-17),S3 - Bailey-Welch,0.439959,0.020606,-0.010427,0.021899,False,Medium (15-17)
16,3,3,Blocking,Medium (15-17),S3 - Blocking,0.444757,0.020643,-0.005628,0.021934,False,Medium (15-17)
16,3,4,Benchmarking,Medium (15-17),S3 - Benchmarking,0.441324,0.020706,-0.009061,0.021993,False,Medium (15-17)
17,1,1,FCFS,Medium (15-17),S1 - FCFS,0.620189,0.042058,0.169803,0.042707,True,Medium (15-17)
17,1,2,Bailey-Welch,Medium (15-17),S1 - Bailey-Welch,0.615590,0.041990,0.165204,0.042640,True,Medium (15-17)
17,1,3,Blocking,Medium (15-17),S1 - Blocking,0.622467,0.042053,0.172081,0.042701,True,Medium (15-17)
17,1,4,Benchmarking,Medium (15-17),S1 - Benchmarking,0.618806,0.042090,0.168421,0.042738,True,Medium (15-17)
17,2,1,FCFS,Medium (15-17),S2 - FCFS,0.568344,0.042028,0.117958,0.042677,True,Medium (15-17)
17,2,2,Bailey-Welch,Medium (15-17),S2 - Bailey-Welch,0.565563,0.042028,0.115178,0.042677,True,Medium (15-17)
17,2,3,Blocking,Medium (15-17),S2 - Blocking,0.581504,0.041990,0.131119,0.042640,True,Medium (15-17)
17,2,4,Benchmarking,Medium (15-17),S2 - Benchmarking,0.567071,0.042079,0.116686,0.042727,True,Medium (15-17)
17,3,1,FCFS,Medium (15-17),S3 - FCFS,0.554917,0.041992,0.104531,0.042641,True,Medium (15-17)
17,3,2,Bailey-Welch,Medium (15-17),S3 - Bailey-Welch,0.552132,0.041910,0.101746,0.042561,True,Medium (15-17)
17,3,3,Blocking,Medium (15-17),S3 - Blocking,0.556958,0.041953,0.106572,0.042603,True,Medium (15-17)
17,3,4,Benchmarking,Medium (15-17),S3 - Benchmarking,0.553573,0.042021,0.103188,0.042670,True,Medium (15-17)
18,1,1,FCFS,High (18-20),S1 - FCFS,1.203309,0.194119,0.752924,0.194261,True,High (18-20)
18,1,2,Bailey-Welch,High (18-20),S1 - Bailey-Welch,1.198344,0.193960,0.747959,0.194102,True,High (18-20)
18,1,3,Blocking,High (18-20),S1 - Blocking,1.205566,0.194028,0.755181,0.194170,True,High (18-20)
18,1,4,Benchmarking,High (18-20),S1 - Benchmarking,1.201838,0.194043,0.751452,0.194185,True,High (18-20)
18,2,1,FCFS,High (18-20),S2 - FCFS,1.144587,0.193712,0.694201,0.193854,True,High (18-20)
18,2,2,Bailey-Welch,High (18-20),S2 - Bailey-Welch,1.142239,0.193543,0.691854,0.193685,True,High (18-20)
18,2,3,Blocking,High (18-20),S2 - Blocking,1.160007,0.193871,0.709621,0.194012,True,High (18-20)
18,2,4,Benchmarking,High (18-20),S2 - Benchmarking,1.143254,0.193651,0.692868,0.193793,True,High (18-20)
18,3,1,FCFS,High (18-20),S3 - FCFS,1.132653,0.193600,0.682268,0.193741,True,High (18-20)
