SECTION,Factorial Results — mean and 95% CI per KPI
urgent_slots,strategy,rule,rule_name,n_batches,elAppWT_mean,elScanWT_mean,urScanWT_mean,OT_mean,OV_mean,elAppWT_hw,elScanWT_hw,urScanWT_hw,OT_hw,OV_hw,elAppWT_lower,elScanWT_lower,urScanWT_lower,OT_lower,OV_lower,elAppWT_upper,elScanWT_upper,urScanWT_upper,OT_upper,OV_upper
18,2,3,Blocking,58,155.152577,0.179862,2.128315,0.877444,1.160007,32.621783,0.000517,0.012074,0.012338,0.193871,122.530794,0.179345,2.116242,0.865106,0.966136,187.774359,0.180378,2.140389,0.889782,1.353877
18,2,4,Benchmarking,58,154.357347,0.076499,2.020139,0.874883,1.143254,32.586997,0.000489,0.012259,0.012421,0.193651,121.770350,0.076010,2.007879,0.862462,0.949603,186.944345,0.076988,2.032398,0.887304,1.336905
18,3,1,FCFS,58,154.367179,0.075875,1.924207,0.723240,1.132653,32.581393,0.000488,0.013281,0.011976,0.193600,121.785786,0.075387,1.910926,0.711265,0.939053,186.948571,0.076363,1.937487,0.735216,1.326253
18,3,2,Bailey-Welch,58,154.981471,0.180195,1.866620,0.675227,1.129911,32.559410,0.000808,0.013230,0.011990,0.193470,122.422061,0.179387,1.853390,0.663237,0.936441,187.540881,0.181003,1.879850,0.687217,1.323381
18,3,3,Blocking,58,155.039692,0.181443,1.910904,0.714083,1.135178,32.569312,0.000534,0.013247,0.011934,0.193517,122.470379,0.180909,1.897657,0.702150,0.941661,187.609004,0.181977,1.924151,0.726017,1.328695
18,3,4,Benchmarking,58,154.427039,0.077364,1.907263,0.711146,1.131127,32.572373,0.000488,0.013269,0.011962,0.193545,121.854665,0.076876,1.893995,0.699184,0.937582,186.999412,0.077852,1.920532,0.723108,1.324672
19,1,1,FCFS,58,1109.729929,0.084114,2.476733,0.427067,6.880728,161.352202,0.000458,0.012327,0.009935,0.960224,948.377726,0.083656,2.464407,0.417132,5.920504,1271.082131,0.084572,2.489060,0.437002,7.840952
19,1,2,Bailey-Welch,58,1110.672222,0.184570,2.399546,0.388644,6.877760,161.353949,0.000645,0.012249,0.009880,0.960219,949.318274,0.183925,2.387297,0.378764,5.917541,1272.026171,0.185214,2.411795,0.398523,7.837979
19,1,3,Blocking,58,1110.770086,0.189465,2.461825,0.421211,6.885263,161.359523,0.000461,0.012427,0.009892,0.960260,949.410562,0.189004,2.449398,0.411320,5.925003,1272.129609,0.189926,2.474252,0.431103,7.845522
19,1,4,Benchmarking,58,1109.708077,0.084905,2.458248,0.419481,6.878544,161.351387,0.000456,0.012307,0.009916,0.960218,948.356691,0.084449,2.445941,0.409565,5.918326,1271.059464,0.085361,2.470554,0.429397,7.838762
19,2,1,FCFS,58,1109.834369,0.073936,1.964056,0.872566,6.824385,161.387088,0.000494,0.011716,0.012117,0.960598,948.447281,0.073442,1.952340,0.860449,5.863788,1271.221457,0.074429,1.975773,0.884683,7.784983
19,2,2,Bailey-Welch,58,1109.713055,0.173204,1.909564,0.824519,6.817609,161.355909,0.000863,0.011652,0.012190,0.960411,948.357146,0.172341,1.897913,0.812329,5.857198,1271.068964,0.174067,1.921216,0.836709,7.778019
19,2,3,Blocking,58,1110.867375,0.180083,2.061675,0.862382,6.841381,161.389011,0.000510,0.011549,0.012044,0.960619,949.478364,0.179573,2.050126,0.850338,5.880762,1272.256386,0.180592,2.073224,0.874426,7.802000
19,2,4,Benchmarking,58,1109.811746,0.075537,1.947765,0.860286,6.822441,161.386407,0.000496,0.011728,0.012105,0.960594,948.425339,0.075040,1.936037,0.848181,5.861847,1271.198154,0.076033,1.959493,0.872391,7.783034
